0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
2    [main] INFO  ru.nsu.gordin.Main  - factory init
0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
1    [main] INFO  ru.nsu.gordin.Main  - creating factory
3    [main] INFO  ru.nsu.gordin.Main  - factory init
4    [main] DEBUG ru.nsu.gordin.AbstractFactory  - void AbstractFactory.init(String filename = ru/nsu/gordin/initFile)
4    [main] INFO  ru.nsu.gordin.Main  - creating controller
6    [main] INFO  ru.nsu.gordin.Main  - creating viewer
8    [main] INFO  ru.nsu.gordin.Main  - controller run...
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10793 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10794 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10794 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10794 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10794 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10794 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10795 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10795 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13667 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = DRAW)
13668 [main] DEBUG ru.nsu.gordin.Model  - void Model.SetDraw(boolean b = true)
13669 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
13669 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
13669 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13669 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13670 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13670 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13670 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13670 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13671 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13671 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13672 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
13672 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
